Id,Name,Slug,"Term Taxonomy Id",Taxonomy,"Parent Id","Parent Slug",Description,"Term Group",Count,"Category Image","Woocommerce Term Meta"
41,Brand,brand,41,product_cat,0,,Brand,0,0,,"a:2:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}s:25:""product_count_product_cat"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""1"";}"";}}"
42,A4,a5,42,product_cat,41,brand,A4,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}}"
43,Badger,badger,43,product_cat,41,brand," Badger",0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}}"
44,Gildan,gildan,44,product_cat,41,brand," Gildan",0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}}"
45,J.America,j-america,45,product_cat,41,brand," J.America",0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}}"
46,Otto,otto,46,product_cat,41,brand," Otto",0,0,,"a:2:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}s:25:""product_count_product_cat"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""1"";}"";}}"
47,Outdoor,outdoor,47,product_cat,41,brand," Outdoor",0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}}"
48,"Port Authority",port-authority,48,product_cat,41,brand," Port Authority",0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}}"
49,UltraClub,ultraclub,49,product_cat,41,brand," UltraClub",0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}}"
50,Yupoong,yupoong,50,product_cat,12,apparel," Yupoong",0,0,,"a:3:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}s:9:""header_id"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}s:12:""display_type"";a:1:{i:0;s:17:""a:1:{i:0;s:0:"""";}"";}}"
69,Youth,youth,69,product_cat,0,,,0,3,,"a:5:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:9:""header_id"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""3"";}}"
